standard_name,measure,tracking_candidates,comprehensive_candidates,baseline_candidates,value_kind,role,status,notes
self_reported_vision,Self-reported vision,VIS_SGHT_TRF2,VIS_SGHT_COF2,VIS_SGHT_COM,categorical,exposure,ready,"Codes 4-5 define visual impairment; dictionary missing codes are nulled."
visual_acuity_left,Visual acuity left eye,,VA_L_SCORE_COF2,VA_ETDRS_L_RSLT_COM,numeric,outcome,scale_confirmation_required,"Follow-up 2 dictionary gives no unit/scale; do not apply the 0.3 logMAR threshold until confirmed."
visual_acuity_right,Visual acuity right eye,,VA_R_SCORE_COF2,VA_ETDRS_R_RSLT_COM,numeric,outcome,scale_confirmation_required,"Follow-up 2 dictionary gives no unit/scale; do not apply the 0.3 logMAR threshold until confirmed."
visual_acuity_both,Visual acuity both eyes,,VA_BOTH_SCORE_COF2,,numeric,outcome,ready,"Follow-up 2 comprehensive cohort only."
cesd10_score,Depression score,DEP_CESD10_TRF2,DEP_CESD10_COF2,DEP_CESD10_COM,numeric,covariate,ready,"Score >=10 defines depression; -77771 and -77772 are missing."
age_years,Age,AGE_NMBR_TRF2,AGE_NMBR_COF2,AGE_NMBR_COM,numeric,covariate,ready,"Tracking dictionary types age as text; cast after missing-code cleanup."
sex_at_birth,Sex at birth,SEX_ASK_TRM,SEX_ASK_COM,SEX_ASK_COM,categorical,covariate,ready,"Follow-up 2 comprehensive retains the COM suffix."
ethnicity_spirometry,Race/ethnicity,,SPR_OUTPUT_ETHN_COF2,SPR_OUTPUT_ETHN_COM,categorical,covariate,limited,"Interviewer/spirometry ethnicity output; available only for comprehensive DCS participants."
education_level_sap,Education,,,ED_UDR04_COM,categorical,covariate,baseline_required,"No Follow-up 2 attainment equivalent appears in the supplied dictionary; join baseline."
marital_status,Marital status,SDC_MRTL_TRF2,SDC_MRTL_COF2,SDC_MRTL_COM,categorical,covariate,ready,"Code 2 defines married/living with partner."
household_income_band,Total household income,INC_TOT_TRF2,INC_TOT_COF2,INC_TOT_COM,categorical,covariate,ready,"Follow-up 2 is a five-band category, not a continuous amount; do not label it income quartile."
smoking_status,Smoking,,ICQ_SMOKE_COF2,ICQ_SMOKE_COM,categorical,covariate,limited,"SAP coding available in Follow-up 2 comprehensive only."
